Nom du lieu,Adresse,Code postal,Ville,Latitude,Longitude,Type de parking,Source,Places,PMR,Transport public,Prix,Ouverture,Commentaire,Proprietaire,Lumière,Velo
Mairie d'Attignat,,01340,Attignat,46.289572220000053,5.158352778000043,Parking,01 CA du bassin de Bourg-en-Bresse,5,,,,,,,,
Place de Bohas,D979 Place de Bohas,01250,Bohas- Meyriat Rignat,46.159947220000049,5.388425,Parking,01 CA du bassin de Bourg-en-Bresse,2,,,,,,,,
Parking Bel Air,route de Neuville - Parking Bel Air,01400,Chatillon Sur Chalaronne,46.129005559999982,4.964663889000064,Parking,01 CA du bassin de Bourg-en-Bresse,10,,,,,,,,
Parking La Genetiere,route de Bourg - La Genetiere,01400,Chaveyriat,46.178102780000017,5.073319444000048,Parking,01 CA du bassin de Bourg-en-Bresse,5,,,,,,,,
Place du Monument,route de Condeissiat - Place du monument,01660,Chaveyriat,46.19888333,5.059761111000051,Parking,01 CA du bassin de Bourg-en-Bresse,3,,,,,,,,
Place du Logis Neuf,place du Logis Neuf,01310,Confraneon,46.25655278000005,5.05549722199999,Parking,01 CA du bassin de Bourg-en-Bresse,3,,,,,,,,
Place de L'Eglise,route de Pont d'Ain - Monument aux morts,01160,Druillat,46.059111109999989,5.31775,Parking,01 CA du bassin de Bourg-en-Bresse,1,,,,,,,,
Place Sans Souci,place sans souci,01250,Jasseron,46.213938890000044,5.3263,Parking,01 CA du bassin de Bourg-en-Bresse,3,,,,,,,,
Parking Chemin de L'Ecole,chemin de l'école,01340,Jayat,46.369072220000028,5.119902778000023,Parking,01 CA du bassin de Bourg-en-Bresse,3,,,,,,,,
Place de L'Eglise,place de l'église,01340,Marsonnas,46.341247220000042,5.071047222,Parking,01 CA du bassin de Bourg-en-Bresse,2,,,,,,,,
Place General de gaulle,Place du Général de gaulle,01340,Montrevel,46.335733330000032,5.125961111000016,Parking,01 CA du bassin de Bourg-en-Bresse,5,,,,,,,,
Parking du Stade,"route saint martin le châtel ""stade""",01310,Polliat,46.251132,5.126572,Parking,01 CA du bassin de Bourg-en-Bresse,8,,,,,,,,
Parking Quinconces,"route de chamonin - ""quinconces""",01310,Polliat,46.250066,5.121596,Parking,01 CA du bassin de Bourg-en-Bresse,6,,,,,,,,
Parking des Sports,D1083 - parking des sports,01960,Servas,46.131197220000011,5.163272222000028,Parking,01 CA du bassin de Bourg-en-Bresse,3,,,,,,,,
Terrain de Boules - Chemin des Lyonnières,chemin des Lyonnières - terrain de boules,01370,St Etienne-Du-Bois,46.283222220000049,5.289722222000027,Parking,01 CA du bassin de Bourg-en-Bresse,5,,,,,,,,
Place de La Fontaine,place de la fontaine/ anciens combattants,01250,Tossiat,46.141572220000022,5.316269444000016,Parking,01 CA du bassin de Bourg-en-Bresse,1,,,,,,,,
Parking du Stade,stade de sport,01370,Treffort-Cuisiat,46.26710278,5.36243611099999,Parking,01 CA du bassin de Bourg-en-Bresse,5,,,,,,,,
Mairie de Vandeins,rue de la mairie,01660,Vandeins,46.215841670000053,5.078811111,Parking,01 CA du bassin de Bourg-en-Bresse,3,,,,,,,,
Aire de covoiturage Montluel,La Boisse,,La Boisse,45.840543,5.048432,Sortie_autoroute,01 CC de la côtière à Montluel,100,,,,,,,,
Aire de covoiturage du Mionnay,Mionnay,01390,Mionnay,45.883101696928136,4.899796870719769,Sortie_autoroute,01 CC de la Dombes,21,,,,,,,,
Aire de covoiturage Château-Gaillard,Château-Gaillard,01500,Château-Gaillard,45.977088,5.311396,Sortie_autoroute,01 CC de la Plaine de l’Ain,15,,,,,,,,
Aire de covoiturage Pérouges,Pérouges,01800,Pérouges,45.860683,5.182171,Sortie_autoroute,01 CC de la Plaine de l’Ain,12,,,,,,,,
Aire de covoiturage Saint-Maurice-De-Beynost,Saint-Maurice-de-Beynost,01700,Saint-Maurice-De-Beynost,45.820935,4.989172,Sortie_autoroute,01 CC de Miribel et du Plateau,80,,Réseau bus Colibri : lignes 1 et 2 - arrêt : Pilon,,,,,,
Péage Laon,"Gare de Péage, Autoroute A26, 02000 Chambry",02000,Chambry,49.60744757,3.663798596,Sortie_autoroute,02 CD02 Ainse,,,,,,,,,
Super U Charly Sur Marne,"Route de Pavant, 02310 Charly-sur-Marne",02310,Charly-Sur-Marne,48.97251912,3.282443232,Supermarket,02 CD02 Ainse,,,,,,,,,
Carrefour Château Thierry,"37 Avenue d'Essômes, 02400 Château-Thierry",02400,Chateau-Thierry,49.0406979,3.387474767,Supermarket,02 CD02 Ainse,,,,,,,,,
Leclerc Château Thierry,"12 Rue de la Plaine, 02400 Château-Thierry",02400,Chateau-Thierry,49.03736798,3.389779016,Supermarket,02 CD02 Ainse,,,,,,,,,
Parking covoiturage SANEF Château-Thierry,"La Planchette, 02400 Bézu-Saint-Germain",02400,Chateau-Thierry,49.07858266,3.400251563,Sortie_autoroute,02 CD02 Ainse,,,,,,,,,
Mairie de Condé En Brie,"1 Rond-Point du Cahot, 02330 Condé-en-Brie",02330,Condé En Brie,49.00457585,3.555901022,Aire-covoiturage,02 CD02 Ainse,,,,,,,,,
